neigh,price_m2,glat,glng
TAQUARA,4.46393074026,-22.9193336253,-43.3702749639
TAUA,3.24776785714,-22.7879748,-43.1776953
TIJUCA,6.98901908676,-22.9218932333,-43.2277128747
TODOS OS SANTOS,4.64192979959,-22.8891654846,-43.2824288385
TOMAS COELHO,3.06450980392,-22.8660179,-43.30401346
TURIACU,3.29777365492,-22.8571768,-43.3377302
URCA,12.5021105732,-22.94712769,-43.16351994
USINA,5.47571666864,-22.749045,-43.0993817
VARGEM GRANDE,4.56023662592,-22.9950105182,-43.4781224364
VARGEM PEQUENA,4.05876466529,-22.9811682714,-43.4356464429
VAZ LOBO,3.17171717172,-22.8578465,-43.3221082667
VICENTE DE CARVALHO,4.69565217391,-22.8479798,-43.3073315
VIDIGAL,8.98476190476,-22.9922776,-43.2326765
VILLAGE,4.5,-22.749045,-43.0993817
VISTA ALEGRE,4.14573131755,-22.8298587462,-43.3118873846
VL DA PENHA,4.58336364872,-22.842516017,-43.3079016226
VL ISABEL,5.70082182918,-22.9131263918,-43.2410068565
VL VALQUEIRE,4.28526879255,-22.8799184365,-43.3610577596
ZUMBI,2.92307692308,-22.8193701,-43.1736903
