"id_loc","street","neigh","city","state","gaddress","glat","glng","gbnelat","gbnelng","gbswlat","gbswlng","visited"
7426,"RUA CABO GERALDO CALDERARO","PECHINCHA","RIO DE JANEIRO","RJ","Pechincha, Rio de Janeiro, Brazil",-22.9195,-43.3432,-22.9417,-43.3637,-22.9296,-43.356,"2013-08-17 15:35:04"
7427,"RUA CABUCU","LINS DE VASCONCELOS","RIO DE JANEIRO","RJ","Rua Cabuçu - Lins de Vasconcelos, Rio de Janeiro, 20710-300, Brazil",-22.9075,-43.2753,-22.9131,-43.2773,-22.9103,-43.2758,"2013-08-17 15:35:04"
7428,"RUA CACAPAVA","GRAJAU","RIO DE JANEIRO","RJ","Rua Caçapava - Grajaú, Rio de Janeiro, 20541-350, Brazil",-22.9247,-43.2568,-22.9298,-43.2596,-22.9279,-43.2586,"2013-08-17 15:35:05"
7429,"RUA CACHAMBI","CACHAMBI","RIO DE JANEIRO","RJ","Rua Cachambi - Cachambi, Rio de Janeiro, Brazil",-22.8832,-43.2737,-22.8953,-43.2801,-22.8881,-43.2756,"2013-08-17 15:35:05"
7430,"RUA CAETANO DA SILVA","CASCADURA","RIO DE JANEIRO","RJ","Rua Caetano da Silva - Cascadura, Rio de Janeiro, 21381-370, Brazil",-22.8769,-43.3187,-22.8819,-43.3238,-22.8794,-43.3212,"2013-08-17 15:35:06"
7431,"RUA CAIAPO","ENGENHO NOVO","RIO DE JANEIRO","RJ","Rua Caiapó - Grajaú, Rio de Janeiro, 20710-180, Brazil",-22.9089,-43.2737,-22.9116,-43.2741,-22.9099,-43.274,"2013-08-17 15:35:06"
7432,"RUA CAIAPO","GRAJAU","RIO DE JANEIRO","RJ","Rua Caiapó - Grajaú, Rio de Janeiro, 20710-180, Brazil",-22.9089,-43.2737,-22.9116,-43.2741,-22.9099,-43.274,"2013-08-17 15:35:07"
7433,"RUA CAIENA","BENTO RIBEIRO","RIO DE JANEIRO","RJ","Rua Caiena - Bento Ribeiro, Rio de Janeiro, 21555-140, Brazil",-22.8552,-43.3608,-22.8612,-43.3643,-22.8581,-43.3623,"2013-08-17 15:35:07"
7434,"RUA CAIRUCU","VL VALQUEIRE","RIO DE JANEIRO","RJ","Rua Cairuçu - Vila Valqueire, Rio de Janeiro, Brazil",-22.8804,-43.3671,-22.8843,-43.3752,-22.8811,-43.3709,"2013-08-17 15:35:08"
7435,"RUA CALUMBI","IRAJA","RIO DE JANEIRO","RJ","Rua Calumbi - Irajá, Rio de Janeiro, 21361-260, Brazil",-22.8508,-43.3227,-22.8543,-43.3247,-22.8526,-43.3236,"2013-08-17 15:35:08"
7436,"RUA CAMARISTA MEIER","ENGENHO DE DENTRO","RIO DE JANEIRO","RJ","Rua Camarista Meier próximo ao 193 - Engenho de Dentro, Rio de Janeiro, Brazil",,,,,-22.9059,-43.2964,"2013-08-17 22:31:55"
7437,"RUA CAMARISTA MEIER","MEIER","RIO DE JANEIRO","RJ","Rua Camarista Meier próximo ao 193 - Engenho de Dentro, Rio de Janeiro, Brazil",,,,,-22.9059,-43.2964,"2013-08-17 22:31:56"
7438,"RUA CAMBAUBA","JD GUANABARA","RIO DE JANEIRO","RJ","Rua Cambaúba - Jardim Guanabara, Rio de Janeiro, Brazil",-22.8054,-43.203,-22.8173,-43.2089,-22.8129,-43.2075,"2013-08-17 15:35:10"
7439,"RUA CAMELIAS,DAS","VL VALQUEIRE","RIO DE JANEIRO","RJ","Rua das Camélias - Vila Valqueire, Rio de Janeiro, 21330-200, Brazil",-22.8773,-43.3662,-22.8843,-43.3674,-22.8813,-43.3669,"2013-08-17 15:35:10"
7440,"RUA CAMPINAS","GRAJAU","RIO DE JANEIRO","RJ","Rua Campinas - Grajaú, Rio de Janeiro, 20561-250, Brazil",-22.9243,-43.2577,-22.9287,-43.2601,-22.9269,-43.2591,"2013-08-17 15:35:11"
7441,"RUA CAMPO DA RIBEIRA","RIBEIRA","RIO DE JANEIRO","RJ","Rua Campo da Ribeira - Ribeira, Rio de Janeiro, 21930-080, Brazil",-22.8232,-43.1671,-22.8241,-43.1696,-22.8235,-43.1685,"2013-08-17 15:35:11"
7442,"RUA CAMPO GRANDE","CAMPO GRANDE","RIO DE JANEIRO","RJ","Rua Campo Grande, Rio de Janeiro, Brazil",-22.8999,-43.5493,-22.9094,-43.5977,-22.9046,-43.5735,"2013-08-17 15:35:12"
